disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,symptoms,precaution_1,precaution_2,precaution_3,precaution_4,precautions,_merge
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze']",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']",both
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever']",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']",both
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache']",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"['Consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']",both
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger']",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",both
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints']",acetaminophen,consult nearest hospital,follow up,salt baths,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']",both
Paralysis (Brain Hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,"[' vomiting', ' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan]",massage,eat healthy,exercise,consult doctor,"['massage', 'eat healthy', 'exercise', 'consult doctor']",both
Peptic Ulcer Diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"[' vomiting', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching']",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",both
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness']",consult doctor,medication,rest,follow up,"['consult doctor', 'medication', 'rest', 'follow up']",both
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails']",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']",both
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough']",cover mouth,consult doctor,medication,rest,"['cover mouth', 'consult doctor', 'medication', 'rest']",both
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' nausea']",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']",both
Urinary Tract Infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan]",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']",both
Varicose Veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs']",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']",both
